Time 1: PC=0x085 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 2522: PC=0x032 instruction = 0x629 (DCA), rA = 0x000, rL = 1
Time 2524: PC=0x033 instruction = 0x205 (TAD), rA = 0x004, rL = 1
Time 2527: PC=0x034 instruction = 0x728 (DCA I), rA = 0x000, rL = 1
Time 2529: PC=0x035 instruction = 0x428 (ISZ), rA = 0x000, rL = 1
Time 2531: PC=0x036 instruction = 0x229 (TAD), rA = 0x001, rL = 1
Time 2532: PC=0x037 instruction = 0xF20 (SZA), rA = 0x001, rL = 1
Time 2533: PC=0x038 instruction = 0xA31 (JMP), rA = 0x001, rL = 1
Time 2535: PC=0x031 instruction = 0x807 (JMS), rA = 0x001, rL = 1
Time 2537: PC=0x008 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 2539: PC=0x009 instruction = 0x604 (DCA), rA = 0x000, rL = 1
Time 2541: PC=0x00A instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 2542: PC=0x00B instruction = 0xFA8 (SZA RSS CLA), rA = 0x000, rL = 1
Time 2544: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 2545: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 2547: PC=0x00F instruction = 0x205 (TAD), rA = 0xFF7, rL = 1
Time 2548: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0xFF7, rL = 1
Time 2549: PC=0x011 instruction = 0xA15 (JMP), rA = 0xFF7, rL = 1
Time 2550: PC=0x015 instruction = 0xE80 (CLA), rA = 0x000, rL = 1
Time 2552: PC=0x016 instruction = 0x204 (TAD), rA = 0x000, rL = 1
Time 2554: PC=0x017 instruction = 0xB07 (JMP I), rA = 0x000, rL = 1
Time 2556: PC=0x032 instruction = 0x629 (DCA), rA = 0x000, rL = 1
Time 2558: PC=0x033 instruction = 0x205 (TAD), rA = 0x001, rL = 1
Time 2561: PC=0x034 instruction = 0x728 (DCA I), rA = 0x000, rL = 1
Time 2563: PC=0x035 instruction = 0x428 (ISZ), rA = 0x000, rL = 1
Time 2565: PC=0x036 instruction = 0x229 (TAD), rA = 0x000, rL = 1
Time 2566: PC=0x037 instruction = 0xF20 (SZA), rA = 0x000, rL = 1
Time 2567: PC=0x039 instruction = 0xEA0 (CLA CMA), rA = 0xFFF, rL = 1
Time 2569: PC=0x03A instruction = 0x228 (TAD), rA = 0x024, rL = 0
Time 2571: PC=0x03B instruction = 0x628 (DCA), rA = 0x000, rL = 0
Time 2574: PC=0x03C instruction = 0x328 (TAD I), rA = 0x001, rL = 0
Time 2576: PC=0x03D instruction = 0x22A (TAD), rA = 0x031, rL = 0
Time 2577: PC=0x03E instruction = 0xC20 (IOT 4), rA = 0x031, rL = 0
Time 2578: PC=0x03F instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 2580: PC=0x040 instruction = 0x228 (TAD), rA = 0x024, rL = 0
Time 2581: PC=0x041 instruction = 0xE21 (CMA IAC), rA = 0xFDC, rL = 0
Time 2583: PC=0x042 instruction = 0x227 (TAD), rA = 0xFFE, rL = 0
Time 2584: PC=0x043 instruction = 0xF20 (SZA), rA = 0xFFE, rL = 0
Time 2585: PC=0x044 instruction = 0xA39 (JMP), rA = 0xFFE, rL = 0
Time 2586: PC=0x039 instruction = 0xEA0 (CLA CMA), rA = 0xFFF, rL = 0
Time 2588: PC=0x03A instruction = 0x228 (TAD), rA = 0x023, rL = 1
Time 2590: PC=0x03B instruction = 0x628 (DCA), rA = 0x000, rL = 1
Time 2593: PC=0x03C instruction = 0x328 (TAD I), rA = 0x004, rL = 1
Time 2595: PC=0x03D instruction = 0x22A (TAD), rA = 0x034, rL = 1
Time 2596: PC=0x03E instruction = 0xC20 (IOT 4), rA = 0x034, rL = 1
Time 2597: PC=0x03F instruction = 0xE80 (CLA), rA = 0x000, rL = 1
Time 2599: PC=0x040 instruction = 0x228 (TAD), rA = 0x023, rL = 1
Time 2600: PC=0x041 instruction = 0xE21 (CMA IAC), rA = 0xFDD, rL = 1
Time 2602: PC=0x042 instruction = 0x227 (TAD), rA = 0xFFF, rL = 1
Time 2603: PC=0x043 instruction = 0xF20 (SZA), rA = 0xFFF, rL = 1
Time 2604: PC=0x044 instruction = 0xA39 (JMP), rA = 0xFFF, rL = 1
Time 2605: PC=0x039 instruction = 0xEA0 (CLA CMA), rA = 0xFFF, rL = 1
Time 2607: PC=0x03A instruction = 0x228 (TAD), rA = 0x022, rL = 0
Time 2609: PC=0x03B instruction = 0x628 (DCA), rA = 0x000, rL = 0
Time 2612: PC=0x03C instruction = 0x328 (TAD I), rA = 0x008, rL = 0
Time 2614: PC=0x03D instruction = 0x22A (TAD), rA = 0x038, rL = 0
Time 2615: PC=0x03E instruction = 0xC20 (IOT 4), rA = 0x038, rL = 0
Time 2616: PC=0x03F instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 2618: PC=0x040 instruction = 0x228 (TAD), rA = 0x022, rL = 0
Time 2619: PC=0x041 instruction = 0xE21 (CMA IAC), rA = 0xFDE, rL = 0
Time 2621: PC=0x042 instruction = 0x227 (TAD), rA = 0x000, rL = 1
Time 2622: PC=0x043 instruction = 0xF20 (SZA), rA = 0x000, rL = 1
Time 2624: PC=0x045 instruction = 0xB2C (JMP I), rA = 0x000, rL = 1
Time 2625: PC=0x09C instruction = 0xEC0 (CLA CLL), rA = 0x000, rL = 0
Time 2627: PC=0x09D instruction = 0x280 (TAD), rA = 0x1CA, rL = 0
Time 2630: PC=0x09E instruction = 0x382 (TAD I), rA = 0x25E, rL = 0
Time 2632: PC=0x09F instruction = 0x482 (ISZ), rA = 0x25E, rL = 0
Time 2633: PC=0x0A0 instruction = 0xF18 (SNL RSS), rA = 0x25E, rL = 0
Time 2634: PC=0x0A2 instruction = 0xF48 (SMA RSS), rA = 0x25E, rL = 0
Time 2636: PC=0x0A4 instruction = 0x680 (DCA), rA = 0x000, rL = 0
Time 2638: PC=0x0A5 instruction = 0x481 (ISZ), rA = 0x000, rL = 0
Time 2639: PC=0x0A6 instruction = 0xAA8 (JMP), rA = 0x000, rL = 0
Time 2640: PC=0x0A8 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 2642: PC=0x0A9 instruction = 0x200 (TAD), rA = 0x0EC, rL = 0
Time 2644: PC=0x0AA instruction = 0x819 (JMS), rA = 0x0EC, rL = 0
Time 2646: PC=0x01A instruction = 0x618 (DCA), rA = 0x000, rL = 0
Time 2649: PC=0x01B instruction = 0x318 (TAD I), rA = 0x020, rL = 0
Time 2650: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x020, rL = 0
Time 2651: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x020, rL = 0
Time 2653: PC=0x01F instruction = 0x418 (ISZ), rA = 0x020, rL = 0
Time 2654: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 2655: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 2658: PC=0x01B instruction = 0x318 (TAD I), rA = 0x02B, rL = 0
Time 2659: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x02B, rL = 0
Time 2660: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x02B, rL = 0
Time 2662: PC=0x01F instruction = 0x418 (ISZ), rA = 0x02B, rL = 0
Time 2663: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 2664: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 2667: PC=0x01B instruction = 0x318 (TAD I), rA = 0x020, rL = 0
Time 2668: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x020, rL = 0
Time 2669: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x020, rL = 0
Time 2671: PC=0x01F instruction = 0x418 (ISZ), rA = 0x020, rL = 0
Time 2672: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 2673: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 2676: PC=0x01B instruction = 0x318 (TAD I), rA = 0x000, rL = 0
Time 2677: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x000, rL = 0
Time 2679: PC=0x01D instruction = 0xB19 (JMP I), rA = 0x000, rL = 0
Time 2680: PC=0x0AB instruction = 0xA99 (JMP), rA = 0x000, rL = 0
Time 2681: PC=0x099 instruction = 0xEC0 (CLA CLL), rA = 0x000, rL = 0
Time 2684: PC=0x09A instruction = 0x382 (TAD I), rA = 0x09E, rL = 0
Time 2686: PC=0x09B instruction = 0x82C (JMS), rA = 0x09E, rL = 0
Time 2688: PC=0x02D instruction = 0x629 (DCA), rA = 0x000, rL = 0
Time 2690: PC=0x02E instruction = 0x22B (TAD), rA = 0x00A, rL = 0
Time 2692: PC=0x02F instruction = 0x606 (DCA), rA = 0x000, rL = 0
Time 2694: PC=0x030 instruction = 0x229 (TAD), rA = 0x09E, rL = 0
Time 2696: PC=0x031 instruction = 0x807 (JMS), rA = 0x09E, rL = 0
Time 2698: PC=0x008 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 2700: PC=0x009 instruction = 0x604 (DCA), rA = 0x000, rL = 0
Time 2702: PC=0x00A instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 2703: PC=0x00B instruction = 0xFA8 (SZA RSS CLA), rA = 0x000, rL = 0
Time 2705: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 2706: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 2708: PC=0x00F instruction = 0x205 (TAD), rA = 0x094, rL = 1
Time 2709: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x094, rL = 1
Time 2711: PC=0x012 instruction = 0x404 (ISZ), rA = 0x094, rL = 1
Time 2713: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 2714: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 2716: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 2717: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 2719: PC=0x00F instruction = 0x205 (TAD), rA = 0x08A, rL = 0
Time 2720: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x08A, rL = 0
Time 2722: PC=0x012 instruction = 0x404 (ISZ), rA = 0x08A, rL = 0
Time 2724: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 2725: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 2727: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 2728: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 2730: PC=0x00F instruction = 0x205 (TAD), rA = 0x080, rL = 1
Time 2731: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x080, rL = 1
Time 2733: PC=0x012 instruction = 0x404 (ISZ), rA = 0x080, rL = 1
Time 2735: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 2736: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 2738: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 2739: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 2741: PC=0x00F instruction = 0x205 (TAD), rA = 0x076, rL = 0
Time 2742: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x076, rL = 0
Time 2744: PC=0x012 instruction = 0x404 (ISZ), rA = 0x076, rL = 0
Time 2746: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 2747: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 2749: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 2750: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 2752: PC=0x00F instruction = 0x205 (TAD), rA = 0x06C, rL = 1
Time 2753: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x06C, rL = 1
Time 2755: PC=0x012 instruction = 0x404 (ISZ), rA = 0x06C, rL = 1
Time 2757: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 2758: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 2760: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 2761: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 2763: PC=0x00F instruction = 0x205 (TAD), rA = 0x062, rL = 0
Time 2764: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x062, rL = 0
Time 2766: PC=0x012 instruction = 0x404 (ISZ), rA = 0x062, rL = 0
Time 2768: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 2769: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 2771: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 2772: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 2774: PC=0x00F instruction = 0x205 (TAD), rA = 0x058, rL = 1
Time 2775: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x058, rL = 1
Time 2777: PC=0x012 instruction = 0x404 (ISZ), rA = 0x058, rL = 1
Time 2779: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 2780: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 2782: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 2783: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 2785: PC=0x00F instruction = 0x205 (TAD), rA = 0x04E, rL = 0
Time 2786: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x04E, rL = 0
Time 2788: PC=0x012 instruction = 0x404 (ISZ), rA = 0x04E, rL = 0
Time 2790: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 2791: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 2793: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 2794: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 2796: PC=0x00F instruction = 0x205 (TAD), rA = 0x044, rL = 1
Time 2797: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x044, rL = 1
Time 2799: PC=0x012 instruction = 0x404 (ISZ), rA = 0x044, rL = 1
Time 2801: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 2802: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 2804: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 2805: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 2807: PC=0x00F instruction = 0x205 (TAD), rA = 0x03A, rL = 0
Time 2808: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x03A, rL = 0
Time 2810: PC=0x012 instruction = 0x404 (ISZ), rA = 0x03A, rL = 0
Time 2812: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 2813: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 2815: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 2816: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 2818: PC=0x00F instruction = 0x205 (TAD), rA = 0x030, rL = 1
Time 2819: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x030, rL = 1
Time 2821: PC=0x012 instruction = 0x404 (ISZ), rA = 0x030, rL = 1
Time 2823: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 2824: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 2826: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 2827: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 2829: PC=0x00F instruction = 0x205 (TAD), rA = 0x026, rL = 0
Time 2830: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x026, rL = 0
Time 2832: PC=0x012 instruction = 0x404 (ISZ), rA = 0x026, rL = 0
Time 2834: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 2835: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 2837: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 2838: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 2840: PC=0x00F instruction = 0x205 (TAD), rA = 0x01C, rL = 1
Time 2841: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x01C, rL = 1
Time 2843: PC=0x012 instruction = 0x404 (ISZ), rA = 0x01C, rL = 1
Time 2845: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 2846: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 2848: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 2849: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 2851: PC=0x00F instruction = 0x205 (TAD), rA = 0x012, rL = 0
Time 2852: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x012, rL = 0
Time 2854: PC=0x012 instruction = 0x404 (ISZ), rA = 0x012, rL = 0
Time 2856: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 2857: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 2859: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 2860: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 2862: PC=0x00F instruction = 0x205 (TAD), rA = 0x008, rL = 1
Time 2863: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x008, rL = 1
Time 2865: PC=0x012 instruction = 0x404 (ISZ), rA = 0x008, rL = 1
Time 2867: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 2868: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 2870: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 2871: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 2873: PC=0x00F instruction = 0x205 (TAD), rA = 0xFFE, rL = 1
Time 2874: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0xFFE, rL = 1
Time 2875: PC=0x011 instruction = 0xA15 (JMP), rA = 0xFFE, rL = 1
Time 2876: PC=0x015 instruction = 0xE80 (CLA), rA = 0x000, rL = 1
Time 2878: PC=0x016 instruction = 0x204 (TAD), rA = 0x00F, rL = 1
Time 2880: PC=0x017 instruction = 0xB07 (JMP I), rA = 0x00F, rL = 1
Time 2882: PC=0x032 instruction = 0x629 (DCA), rA = 0x000, rL = 1
Time 2884: PC=0x033 instruction = 0x205 (TAD), rA = 0x008, rL = 1
Time 2887: PC=0x034 instruction = 0x728 (DCA I), rA = 0x000, rL = 1
Time 2889: PC=0x035 instruction = 0x428 (ISZ), rA = 0x000, rL = 1
Time 2891: PC=0x036 instruction = 0x229 (TAD), rA = 0x00F, rL = 1
Time 2892: PC=0x037 instruction = 0xF20 (SZA), rA = 0x00F, rL = 1
Time 2893: PC=0x038 instruction = 0xA31 (JMP), rA = 0x00F, rL = 1
Time 2895: PC=0x031 instruction = 0x807 (JMS), rA = 0x00F, rL = 1
Time 2897: PC=0x008 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 2899: PC=0x009 instruction = 0x604 (DCA), rA = 0x000, rL = 1
Time 2901: PC=0x00A instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 2902: PC=0x00B instruction = 0xFA8 (SZA RSS CLA), rA = 0x000, rL = 1
Time 2904: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 2905: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 2907: PC=0x00F instruction = 0x205 (TAD), rA = 0x005, rL = 0
Time 2908: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x005, rL = 0
Time 2910: PC=0x012 instruction = 0x404 (ISZ), rA = 0x005, rL = 0
Time 2912: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 2913: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 2915: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 2916: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 2918: PC=0x00F instruction = 0x205 (TAD), rA = 0xFFB, rL = 0
Time 2919: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0xFFB, rL = 0
Time 2920: PC=0x011 instruction = 0xA15 (JMP), rA = 0xFFB, rL = 0
Time 2921: PC=0x015 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 2923: PC=0x016 instruction = 0x204 (TAD), rA = 0x001, rL = 0
Time 2925: PC=0x017 instruction = 0xB07 (JMP I), rA = 0x001, rL = 0
Time 2927: PC=0x032 instruction = 0x629 (DCA), rA = 0x000, rL = 0
Time 2929: PC=0x033 instruction = 0x205 (TAD), rA = 0x005, rL = 0
Time 2932: PC=0x034 instruction = 0x728 (DCA I), rA = 0x000, rL = 0
Time 2934: PC=0x035 instruction = 0x428 (ISZ), rA = 0x000, rL = 0
Time 2936: PC=0x036 instruction = 0x229 (TAD), rA = 0x001, rL = 0
Time 2937: PC=0x037 instruction = 0xF20 (SZA), rA = 0x001, rL = 0
Time 2938: PC=0x038 instruction = 0xA31 (JMP), rA = 0x001, rL = 0
Time 2940: PC=0x031 instruction = 0x807 (JMS), rA = 0x001, rL = 0
Time 2942: PC=0x008 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 2944: PC=0x009 instruction = 0x604 (DCA), rA = 0x000, rL = 0
Time 2946: PC=0x00A instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 2947: PC=0x00B instruction = 0xFA8 (SZA RSS CLA), rA = 0x000, rL = 0
Time 2949: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 2950: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 2952: PC=0x00F instruction = 0x205 (TAD), rA = 0xFF7, rL = 0
Time 2953: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0xFF7, rL = 0
Time 2954: PC=0x011 instruction = 0xA15 (JMP), rA = 0xFF7, rL = 0
Time 2955: PC=0x015 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 2957: PC=0x016 instruction = 0x204 (TAD), rA = 0x000, rL = 0
Time 2959: PC=0x017 instruction = 0xB07 (JMP I), rA = 0x000, rL = 0
Time 2961: PC=0x032 instruction = 0x629 (DCA), rA = 0x000, rL = 0
Time 2963: PC=0x033 instruction = 0x205 (TAD), rA = 0x001, rL = 0
Time 2966: PC=0x034 instruction = 0x728 (DCA I), rA = 0x000, rL = 0
Time 2968: PC=0x035 instruction = 0x428 (ISZ), rA = 0x000, rL = 0
Time 2970: PC=0x036 instruction = 0x229 (TAD), rA = 0x000, rL = 0
Time 2971: PC=0x037 instruction = 0xF20 (SZA), rA = 0x000, rL = 0
Time 2972: PC=0x039 instruction = 0xEA0 (CLA CMA), rA = 0xFFF, rL = 0
Time 2974: PC=0x03A instruction = 0x228 (TAD), rA = 0x024, rL = 1
Time 2976: PC=0x03B instruction = 0x628 (DCA), rA = 0x000, rL = 1
Time 2979: PC=0x03C instruction = 0x328 (TAD I), rA = 0x001, rL = 1
Time 2981: PC=0x03D instruction = 0x22A (TAD), rA = 0x031, rL = 1
Time 2982: PC=0x03E instruction = 0xC20 (IOT 4), rA = 0x031, rL = 1
Time 2983: PC=0x03F instruction = 0xE80 (CLA), rA = 0x000, rL = 1
Time 2985: PC=0x040 instruction = 0x228 (TAD), rA = 0x024, rL = 1
Time 2986: PC=0x041 instruction = 0xE21 (CMA IAC), rA = 0xFDC, rL = 1
Time 2988: PC=0x042 instruction = 0x227 (TAD), rA = 0xFFE, rL = 1
Time 2989: PC=0x043 instruction = 0xF20 (SZA), rA = 0xFFE, rL = 1
Time 2990: PC=0x044 instruction = 0xA39 (JMP), rA = 0xFFE, rL = 1
Time 2991: PC=0x039 instruction = 0xEA0 (CLA CMA), rA = 0xFFF, rL = 1
Time 2993: PC=0x03A instruction = 0x228 (TAD), rA = 0x023, rL = 0
Time 2995: PC=0x03B instruction = 0x628 (DCA), rA = 0x000, rL = 0
Time 2998: PC=0x03C instruction = 0x328 (TAD I), rA = 0x005, rL = 0
Time 3000: PC=0x03D instruction = 0x22A (TAD), rA = 0x035, rL = 0
Time 3001: PC=0x03E instruction = 0xC20 (IOT 4), rA = 0x035, rL = 0
Time 3002: PC=0x03F instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 3004: PC=0x040 instruction = 0x228 (TAD), rA = 0x023, rL = 0
Time 3005: PC=0x041 instruction = 0xE21 (CMA IAC), rA = 0xFDD, rL = 0
Time 3007: PC=0x042 instruction = 0x227 (TAD), rA = 0xFFF, rL = 0
Time 3008: PC=0x043 instruction = 0xF20 (SZA), rA = 0xFFF, rL = 0
Time 3009: PC=0x044 instruction = 0xA39 (JMP), rA = 0xFFF, rL = 0
Time 3010: PC=0x039 instruction = 0xEA0 (CLA CMA), rA = 0xFFF, rL = 0
Time 3012: PC=0x03A instruction = 0x228 (TAD), rA = 0x022, rL = 1
Time 3014: PC=0x03B instruction = 0x628 (DCA), rA = 0x000, rL = 1
Time 3017: PC=0x03C instruction = 0x328 (TAD I), rA = 0x008, rL = 1
Time 3019: PC=0x03D instruction = 0x22A (TAD), rA = 0x038, rL = 1
Time 3020: PC=0x03E instruction = 0xC20 (IOT 4), rA = 0x038, rL = 1
Time 3021: PC=0x03F instruction = 0xE80 (CLA), rA = 0x000, rL = 1
Time 3023: PC=0x040 instruction = 0x228 (TAD), rA = 0x022, rL = 1
Time 3024: PC=0x041 instruction = 0xE21 (CMA IAC), rA = 0xFDE, rL = 1
Time 3026: PC=0x042 instruction = 0x227 (TAD), rA = 0x000, rL = 0
Time 3027: PC=0x043 instruction = 0xF20 (SZA), rA = 0x000, rL = 0
Time 3029: PC=0x045 instruction = 0xB2C (JMP I), rA = 0x000, rL = 0
Time 3030: PC=0x09C instruction = 0xEC0 (CLA CLL), rA = 0x000, rL = 0
Time 3032: PC=0x09D instruction = 0x280 (TAD), rA = 0x25E, rL = 0
Time 3035: PC=0x09E instruction = 0x382 (TAD I), rA = 0x2FC, rL = 0
Time 3037: PC=0x09F instruction = 0x482 (ISZ), rA = 0x2FC, rL = 0
Time 3038: PC=0x0A0 instruction = 0xF18 (SNL RSS), rA = 0x2FC, rL = 0
Time 3039: PC=0x0A2 instruction = 0xF48 (SMA RSS), rA = 0x2FC, rL = 0
Time 3041: PC=0x0A4 instruction = 0x680 (DCA), rA = 0x000, rL = 0
Time 3043: PC=0x0A5 instruction = 0x481 (ISZ), rA = 0x000, rL = 0
Time 3044: PC=0x0A6 instruction = 0xAA8 (JMP), rA = 0x000, rL = 0
Time 3045: PC=0x0A8 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 3047: PC=0x0A9 instruction = 0x200 (TAD), rA = 0x0EC, rL = 0
Time 3049: PC=0x0AA instruction = 0x819 (JMS), rA = 0x0EC, rL = 0
Time 3051: PC=0x01A instruction = 0x618 (DCA), rA = 0x000, rL = 0
